name,latitude,longitude,size,color
SAN CARLOS,6.1883,-74.9808,10.35,#556b2f
Rionegro / J. M. Cordova,6.1333,-75.4333,3.0,#702963
SOGAMOSO,5.7143,-72.9369,7.06,#556b2f
Tame / Tame,6.45,-71.75,3.0,#702963
PORCE III,5.084389,-75.643594,6.2,#556b2f
Manizales / La Nubia,5.0333,-75.4667,3.0,#702963
CHIVOR,5.0812,-73.3647,6.17,#556b2f
Guaymaral / Quirotama,4.8123,-74.0649,3.0,#702963
GUAVIO,4.7444,-73.4931,5.75,#556b2f
Guaymaral / Quirotama,4.8123,-74.0649,3.0,#702963
GUATAPE,6.231139,-75.153467,4.7,#556b2f
Rionegro / J. M. Cordova,6.1333,-75.4333,3.0,#702963
TEBSAB CC,10.902,-74.7992,4.52,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
BETANIA,2.93614,-75.2552,3.71,#556b2f
Neiva / Benito Salas,2.9667,-75.3,3.0,#702963
GUATRON,6.2319,-75.1532,3.19,#556b2f
Rionegro / J. M. Cordova,6.1333,-75.4333,3.0,#702963
PAGUA,3.5336,-76.4915,2.97,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
EL QUIMBO,2.3833,-75.5456,2.91,#556b2f
Neiva / Benito Salas,2.9667,-75.3,3.0,#702963
MIEL I,5.06889,-75.51738,2.61,#556b2f
Manizales / La Nubia,5.0333,-75.4667,3.0,#702963
LA TASAJERA,10.983299,-74.788899,2.59,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
ALBAN,4.879595,-74.438833,2.47,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
PORCE II,6.6538889,-75.4602778,2.46,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
URRA,8.1717,-76.0562,2.01,#556b2f
Monteria / Los Garzones,8.8167,-75.85,3.0,#702963
